atom number: 500, atom mass: 1.008000, round: 0
atom number: 500, atom mass: 1.008000, round: 1
atom number: 500, atom mass: 1.008000, round: 2
atom number: 500, atom mass: 1.008000, round: 3
atom number: 500, atom mass: 1.008000, round: 4
atom number: 500, atom mass: 1.008000, round: 5
atom number: 500, atom mass: 1.008000, round: 6
atom number: 500, atom mass: 1.008000, round: 7
atom number: 500, atom mass: 1.008000, round: 8
atom number: 500, atom mass: 1.008000, round: 9
runtime for this round is: 0.657068
atom number: 500, atom mass: 4.003000, round: 0
atom number: 500, atom mass: 4.003000, round: 1
atom number: 500, atom mass: 4.003000, round: 2
atom number: 500, atom mass: 4.003000, round: 3
atom number: 500, atom mass: 4.003000, round: 4
atom number: 500, atom mass: 4.003000, round: 5
atom number: 500, atom mass: 4.003000, round: 6
atom number: 500, atom mass: 4.003000, round: 7
atom number: 500, atom mass: 4.003000, round: 8
atom number: 500, atom mass: 4.003000, round: 9
runtime for this round is: 0.653866
atom number: 500, atom mass: 6.941000, round: 0
atom number: 500, atom mass: 6.941000, round: 1
atom number: 500, atom mass: 6.941000, round: 2
atom number: 500, atom mass: 6.941000, round: 3
atom number: 500, atom mass: 6.941000, round: 4
atom number: 500, atom mass: 6.941000, round: 5
atom number: 500, atom mass: 6.941000, round: 6
atom number: 500, atom mass: 6.941000, round: 7
atom number: 500, atom mass: 6.941000, round: 8
atom number: 500, atom mass: 6.941000, round: 9
runtime for this round is: 0.653782
atom number: 500, atom mass: 12.011000, round: 0
atom number: 500, atom mass: 12.011000, round: 1
atom number: 500, atom mass: 12.011000, round: 2
atom number: 500, atom mass: 12.011000, round: 3
atom number: 500, atom mass: 12.011000, round: 4
atom number: 500, atom mass: 12.011000, round: 5
atom number: 500, atom mass: 12.011000, round: 6
atom number: 500, atom mass: 12.011000, round: 7
atom number: 500, atom mass: 12.011000, round: 8
atom number: 500, atom mass: 12.011000, round: 9
runtime for this round is: 0.653733
atom number: 500, atom mass: 15.999000, round: 0
atom number: 500, atom mass: 15.999000, round: 1
atom number: 500, atom mass: 15.999000, round: 2
atom number: 500, atom mass: 15.999000, round: 3
atom number: 500, atom mass: 15.999000, round: 4
atom number: 500, atom mass: 15.999000, round: 5
atom number: 500, atom mass: 15.999000, round: 6
atom number: 500, atom mass: 15.999000, round: 7
atom number: 500, atom mass: 15.999000, round: 8
atom number: 500, atom mass: 15.999000, round: 9
runtime for this round is: 0.653913
atom number: 600, atom mass: 1.008000, round: 0
atom number: 600, atom mass: 1.008000, round: 1
atom number: 600, atom mass: 1.008000, round: 2
atom number: 600, atom mass: 1.008000, round: 3
atom number: 600, atom mass: 1.008000, round: 4
atom number: 600, atom mass: 1.008000, round: 5
atom number: 600, atom mass: 1.008000, round: 6
atom number: 600, atom mass: 1.008000, round: 7
atom number: 600, atom mass: 1.008000, round: 8
atom number: 600, atom mass: 1.008000, round: 9
runtime for this round is: 0.818914
